MOFname,smi
"mof_unit_pretest_1841.cif
",[C]1(C#CC#CC#C[C]2O[Zn]3O[C](C#CC#CC#C[C]=O)O[Zn@@]3(O2)O[C])O[Zn]234O[C](C#CC#CC#CC(=O)[O])O[Zn]4(O1)(O[C](C#C[C@@]14[C@]5([C@@]6([C@@]7(C#CC(=O)[O])[C@@H]([C@H]16)[C@@H]4[C@@]57F)F)F)O2)O[C](C#CC#CC#C[C]1O[Zn]2O[C](C#CC#C[C])O[Zn]2O1)O3.C(#[C])[C][C@@H]1[CH][C](C#C[C]=O)[C]1F.[C]([C]([CH])F)F.C(#CC#CC#C[C]O[Zn@@](O[C]C#CC#CC#CC(=O)[O])(O[C]C#CC#CC#C[C]=O)[O])[C]O[Zn].[C].[C]#[C].[C].[C]C#C[C]O[Zn][O].[C](C#CC#CC#[C])O[Zn][O].[C]=O.[C]([C])O[Zn]([O])([O])[O].[O].[O].[O].[O].[O][Zn][O].[O].[O]
"mof_unit_pretest_1842.cif
",[C]O[Zn](O[C])([O])[O].[CH][CH].C(=C\[C][C]O[Zn](OC(=O)C#C[C@@]12CC[C@@](CC2)(C#CC(=O)[O])CC1)O[C][C]/C=C\[C][C]/C=C\[C][C]O[Zn][O])\[C][C]/C=C\[C][C]=O.C(=C\[C][C]/C=C\[C][C]O[Zn](O[C][C]/C=C\[C][C]/C=C\[C][C])[O])\[C][C].[CH]=[CH].[CH]=[CH].[CH]=[CH].[CH]=[CH].C(C[C]C#CC(=O)O[Zn])[C]C#C[C]O[Zn]([O])([O])O[C]C#C[C]CC[C]C#CC(=O)[O].C1[C@]2(CC[C@](C#CC(=O)O[Zn]([O])[O])(CC2)C1)C#C[C]1O[Zn]([O])O[C]O[Zn]O1.[CH]=[CH].[CH]=[CH].[CH]=[CH].[CH]=[CH].[CH2][CH2].[CH2][CH2].C(=C\[C])\[C][C]/C=C(\[C][C])/O.C(=C\[C])\[C][C]/C=C(\[C][C])/O.C(=C\[C])\[C][C]/C=C(\[C][C]=O)/O.C(=C\[C])\[C][C]/C=C(\[C][C]=O)/O.[C]=O.[CH]=[CH].[CH]=[CH].[CH]=[CH].[CH]=[CH].[CH][CH].[CH]=[CH].[CH]=[CH].[CH]=[CH].[CH]=[CH].[H].[H].[H].[H].[O].[O][Zn][O].[O][Zn]([O])[O].[O].[O].[O].[O][Zn].[O].[O]
"mof_unit_pretest_1843.cif
",[Zn](O[C]C#C[C]1[CH][CH][CH]1)([O])O[C](O[Zn][O])c1cc2c3c(c1N(=O)=O)ccc1cc([C](O[Zn](O/[C]=[C]\[CH]/C(=C/C=[C]/[CH])/[C])[O])O[Zn](O[C]C#C[C]4[CH][CH][CH]4)[O])c(c(c31)cc2)N(=O)=O.[Zn](O[C]C#C[C]1[CH][CH][CH]1)([O])O[C](O[Zn][O])c1cc2c3c(c1N(=O)=O)ccc1cc([C]4O[Zn@](O[Zn@](O[C]C#C[C]5[CH][CH][CH]5)([O])O4)(O/[C]=[C]\C=C(/[C])\C=C/[C]=[CH])[O])c(c(c31)cc2)N(=O)=O.[Zn](O[C]C#C[C]1[CH][CH][CH]1)([O])O[C](O[Zn][O])c1cc2c3c(c1N(=O)=O)ccc1cc([C]4O[Zn](O[Zn@@](O[C]C#C[C]5[CH][CH][CH]5)(O/[C]=[C]\C=C(/[C])\[C]N(=O)=O)O4)([O])[O])c(c(c31)cc2)N(=O)=O.[Zn@]1(O[Zn](O[C](O1)c1cc2c3c(c1N(=O)=O)ccc1cc([C](O[Zn]([O])[O])O[Zn](O[C]C#C[C]4[CH][CH][CH]4)O/[C]=[C]\C=[C]\[C]N(=O)=O)c(c(c31)cc2)N(=O)=O)[O])(O[C]C#C[C]1[CH][CH][CH]1)[O].[O].[O].[O].[O].[O].[C][C].[C][C].[C][C].[C][C].[CH]=[C]/C(=C(\[C]=[CH])/N(=O)=O)/N(=O)=O.[CH]=[C]/C(=C(\[C]=[CH])/N(=O)=O)/N(=O)=O.[CH]=[C][C]N(=O)=O.[CH]=C([C])[C]N(=O)=O.[C].[C].[CH]=[C][CH].[CH][C]=[CH].[CH]=[C][CH].[CH]=[C][CH].[C].[C]
"mof_unit_pretest_1844.cif
",[C](=O)[CH].C1(=CC(=C(C=[C]1)[C][C]O[Zn]O[C]=[CH])[C])OC[CH2].C(=[CH])/[C]=[C]\O[Zn]O/C(=C/[CH]/C=C/C(=O)O[Zn]([O])([O])[O])/O[Zn][O].C(=C\C(=O)O[Zn]([O])O/[C]=[C]\C=[CH])/[CH]C=C(O[Zn][O])O[Zn][O].C1=C(C=C[C]=[C]1)N.[CH]/C=[C]/[C]=O.[CH]=[C]O[Zn]([O])[O].[C]=O.[H].[H].[H].[H].[NH2].[O]
"mof_unit_pretest_1845.cif
",[O].O=[C].O=[C].[O].O=[C].O=[C].[O][Zn].[O][Zn].O([C])[Zn]([O])(O/[C]=[C]\C=C(/[C]C#Cc1c(cc([C]O[Zn])cc1[N][O])[N][O])\N(=O)=O)[O].[O][Zn](O[C]C#C[C]/C=C(\[C]C#C[C]=O)/N(=O)=O)(O/[C]=[C]\C=C(/[C]C#Cc1c(cc([C]O[Zn])cc1[N][O])[N][O])\N(=O)=O)[O].O([C]C#C/[C]=C/C(=[C]/C#C[C]=O)/N(=O)=O)[Zn]([O])([O])O/[C]=[C]\C=C(/[C]C#Cc1c(cc([C]=O)cc1[N][O])[N][O])\N(=O)=O.[O][Zn](O[C]C#C/[C]=C/C(=[C]/C#C[C]=O)/N(=O)=O)([O])O[C].O=[C]C1=CC(=C(C(=[C]1)[N][O])C#C[C]/C(=C\[C])/N(=O)=O)[N][O].[O].[O].[O].[O].[C](=[CH])N(=O)=O.[C](=[CH])N(=O)=O.[C](=[CH])N(=O)=O.[C](=[CH])N(=O)=O.[H].[C](=[CH])[N][O].c1(c(c(cc(c1)C#[C])[N][O])C#C[C]O[Zn]([O])(O[C]C#Cc1c(cc(cc1[N][O])C#[C])[N][O])[O])[N][O].C(=[C]\C#C[C]O[Zn]([O])([O])O[C]C#C/[C]=C(/C=[C]/C#[C])\N(=O)=O)(/C=[C]/C#[C])\[N][O].[C](=[CH])[N][O].C(=[C]\C#C[C]=O)(/C=[C]/C#[C])\N(=O)=O.[C](=[CH])N(=O)=O.[C](=[CH])N(=O)=O.[C](=[CH])N(=O)=O.[C](=[CH])N(=O)=O.[O].[O].[O][Zn].[O][Zn].[O].[O].[O].[O].[O].[O].[O].[O].[O].[O].[O].[O].[O].[O].[O]
"mof_unit_pretest_1846.cif
",O([C][C]/C=C(\[C][C]/C=[C]/F)/N(=O)=O)[Zn][O].O=[C][C]/C=C(\[C][C]/C=[C]/F)/N(=O)=O.O1[C](O[Zn@]23O[C](O[Zn@]1(O[C](O2)[C@]12[C@@H](C[C@]([C@H]([C@@H]1N(=O)=O)F)([C@H]([C@@H]2F)N(=O)=O)C(=O)O[Zn]([O])[O])F)O[C](O3)[C@]12[C@@H](C[C@]([C@H]([C@@H]1N(=O)=O)F)([C@H]([C@@H]2F)N(=O)=O)C(=O)O[Zn](O[C]/[C]=C(/C(=[C]/[C]=C(/[C][N][O])\F)/F)\N(=O)=O)O[C][C]/C(=C\[C][C]/C=C\[C][C]/C(=C\[C][C][O])/N(=O)=O)/F)F)c1c(cc(c2ccc(c3c(cc(c(c3F)N(=O)=O)[C][O])F)c(c2)F)c(c1)N(=O)=O)N(=O)=O)c1c(cc(c2ccc(c3c(cc(c(c3F)N(=O)=O)[C][O])F)c(c2)F)c(c1)N(=O)=O)N(=O)=O.[O][Zn]O[C].[O].[O].O=[C].[CH]([CH2])F.[CH]([CH2])F.[C]([C])([CH][C][C]=O)N(=O)=O.[C]([C])([CH][C][C]=O)N(=O)=O.[CH][C]N(=O)=O.[CH][C]N(=O)=O.[H].[H].[H].[H].[CH]=C([C][C]C=[CH])F.[CH]=C([C][C]C=[CH])F.[C](=C(\[C][C])/N(=O)=O)/F.[C](=C(\[C][C])/N(=O)=O)/F.[CH]=[C]N(=O)=O.[CH]=[C]N(=O)=O.[O][C][C]/C(=C(\[C][C]/C(=C(\[C][C]/C=C\[C][C])/[N][O])/F)/F)/N(=O)=O.[O].[O].[O].[Zn][O].[Zn][O].[C].[O][Zn][O].O([C][C]/C=C\[C][C]/C(=[C]/F)/[N][O])[Zn][O].[O][Zn]([O])[O].[O][Zn]([O])[O].[O].[O].[O].[C][C].[CH]=[CH].[CH]=[CH].[C](=[C]\F)\[N][O].[C](=[C]\N(=O)=O)\F.[C](=[C]\N(=O)=O)\F.[CH]=[C]N(=O)=O.[CH]=[C]N(=O)=O.[CH]=[C]N(=O)=O.[C]/[C]=C/C=[C]/[C].[CH]=[CH].[CH]=[CH].[CH]=[C]F.[CH]=[C]F.[CH]=[C]F.[C].[F].[F].[O].[O].[O].[O].[F].[F]
"mof_unit_pretest_1847.cif
",[C]([C]/C(=C\[C]=[C]\[O])/[CH][CH2])O[Cu@](O[C][C]/C(=C\[C]=[C]\O[Cu][Cu][O])/[CH][CH2])(O/[C]=[C]\[CH]/C=[C]/[C]=C(/C(=[C]/[C]/C=C\[C])/F)\F)O/[C]=[C]\C=[CH].[C]O[Cu@@](O[C][C]C(=[CH])[CH][CH2])(O/[C]=[C]\[CH]/C=[C]/[C]=C(/C(=[C]/[C]/C=C\[C]=[C]/[O])/F)\F)[O].[C]([C]/C(=C\[C]=[C]/O[Cu](O/[C]=[C]\C=C(/[C][C][O])\CC)([O])[O])/CC)[O].[C]([C]/C(=C\[C]=[C]/O[Cu]([O])([O])O/[C]=[C]\C=C(/[C][C][O])\CC)/CC)O[Cu][Cu][O].[CH]=[C][CH][CH2].C(=C(\[C])/[CH][CH2])\[C]=[C]\[O].C(=[C]\[CH][CH2])/[C].[CH]=[C][CH][CH2].[CH]=[C][CH][CH2].[CH]=[C]CC.[CH]=[C]CC.[CH]=[C]CC.[CH]=[C]CC.[C]=O.[C](=[C]\C=C/[C]/[C]=C(/C(=[C]/[C]/C=C\[C]=[C]/[O])/F)\F)\O[Cu]([O])([O])[O].[C](=[C]\C=[CH])\[O].[C]=O.[CH]=[CH].[CH]=[CH].[CH]/C=[C]/[C]/C(=C(\[C][C]C=[CH])/F)/F.[CH]=[CH].[CH]=[CH].[CH]=[CH].[CH]=[CH].[C](=[C]\F)\F.[C](=[C]\F)\F.[C](=[C]\F)\F.[C](=[C]\F)\F.[Cu]([O])([O])([O])[O].[Cu]([Cu][O])[O].[O].[O].[O].[O].[O].[O].[O].[O].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H]
"mof_unit_pretest_1848.cif
",[C]1(/C(=[C]\C#N)/[C])O[Zn]23(N[CH])O[C](/C(=[C]\C#N)/[C])O[Zn](N[CH])(O1)(O[C](C#[C])O3)O[C](C#[C])O2.[N].[N]
"mof_unit_pretest_1849.cif
",[C]1(C#Cc2ccc(cc2)C#CC(=O)O[Zn](OC(=O)C#C/[C]=C/[CH])[O])O[Zn@@]23O[Zn@]4(O[C](C#C/[C]=C/[CH])O[Zn](O[C](C#C[C]C=[CH])O[Zn](O[C](C#C[C@]56[C@@H]([C@@H]([C@]([C@@H]([C@@H]5C)C)(C(C6(C#N)C#N)(C#N)C#N)C#C[C]5O[Zn@]67O[C](C#C[C]C=[CH])O[Zn]8O[C](C#C/[C]=C/[CH])O[Zn](O5)O[C](C#Cc5ccc(cc5)C#C[C]5O[Zn]([O])O[C](C#C[C]C=[CH])O[Zn](O[Zn](O5)[O])[O])O[Zn@@](O6)(O[C](C#Cc5ccc(cc5)C#CC(=O)O[Zn](OC(=O)C#C[C]C=[CH])O[C]C#C[C]([CH]C)[C]C#N)O7)O[C](C#CC(=[CH])[CH])O8)C)C)O4)O1)O[C](C#CC(=[CH])[CH])O3)O[C](C#Cc1ccc(cc1)C#C[C]1O[Zn@@]3(O[C](C#C[C]C=[CH])O[Zn](O3)O[C]O[Zn]O1)O[C]C#C[C][CH]C)O2.[CH]=C[C]C#[C].[C](C=[CH])C#[C].[C].[CH]C.[CH]C.[C]C#N.[C]#N.[C]#N
"mof_unit_pretest_185.cif
",C\1(=C(/[C][CH][C])\[CH])/O[Zn]23(N(/[C]=C/[CH])[CH])O[C](C#CC([CH])([CH])[CH])O[Zn](N(/[C]=C/[CH])[CH])(O1)(O/C(=C(/[C]/C=[C]/[CH][CH2])\[CH])/O2)O[C](C#CC([CH])([CH])[CH])O3.[CH3].[CH2][CH].[H].[H].[H]
"mof_unit_pretest_1850.cif
",[C](=[C]\C1=CC=CC=[C]1)\O[Zn@@]1(O[Zn]([O])(O[C](c2cc(c(C#Cc3ccc([C]4O[Zn]5O[C](c6c(cc(c(c6I)OC)[C])OC)O[Zn@@]67O[Zn@](O/C(=C(\[C]C=[CH])/[C]I)/O5)(O[C](c5cc(c(C#Cc8ccc([C](O[Zn](O[C]/[C]=C(/C(=[C]/[C])/OC)\I)[O])O[Zn](O[C]/[C]=C(/C(=[C]/C#C/[C]=C(/[C]I)\OC)/OC)\I)O[C]/[C]=[C]\I)cc8)c(c5)OC)OC)O7)O[C]5c7c(cc(c(c7I)OC)C#Cc7cc(c([C]8O[Zn@@]9%10O[Zn@]%11(O[C](c%12c(cc(c(c%12I)OC)[C])OC)O[Zn](O[C](c%12c%13ccccc%13c([C]%13O[Zn@@]%14%15O[Zn@]%16%17O[C](/C(=[C]\I)/[C]C=[CH])O[Zn](O[C](c%18c(cc(c(c%18I)OC)[C])OC)O%15)O[C](c%15ccc(cc%15)C#Cc%15c(cc(cc%15OC)[C]%15O[Zn](O[Zn@@](O/[C]=[C]\[C]C=[CH])(O%15)[O])([O])[O])OC)O[Zn](O[C](c%15c(cc(c(c%15I)OC)C#Cc%15cc(c([C]%18O[Zn@@]%19%20O[Zn@]%21(O[C](c%22c(cc(c(c%22I)OC)[C])OC)O[Zn](O[C](c%22c%23ccccc%23c([C](O6)O[Zn](O5)O4)c(c%22I)I)O%20)O[C](c4cc(c(C#Cc5ccc([C](O[Zn]([O])O/[C]=[C]\[C]([C]I)I)O[Zn](O[C][C][C](/C(=[C]/C#C/[C]=C(/[C](/[C]=[C]\O[Zn](O[C](c6ccc(cc6)C#Cc6c(cc(cc6OC)[C](O%16)O%14)OC)O[Zn](O[C]/[C]=C(/C(=[C]/[C])/OC)\I)O[C][C][C])[O])I)\OC)/OC)I)[O])cc5)c(c4)OC)OC)O[Zn](O/C(=C(\[C]C=[CH])/[C]I)/O%21)O%18)O[C](c4ccc(cc4)C#Cc4c(cc(cc4OC)[C]4O[Zn](O[Zn@](O[C][C][C]C=[CH])(O4)O[C][C]C(=[CH])OC)([O])[O])OC)O%19)c(c%15OC)I)OC)OC)O%17)O%13)c(c%12I)I)O%10)O[C](c4cc(c(C#Cc5ccc([C](O[Zn](O[C]/[C]=C(/C(=[C]/[C])/OC)\I)[O])O[Zn]([O])O/[C]=[C]\[C]I)cc5)c(c4)OC)OC)O[Zn](O[C](/C(=[C]\I)/[C]C=[CH])O%11)O8)O[C](c4ccc(cc4)C#Cc4c(cc(cc4OC)[C]4O[Zn@](O[Zn]([O])(O4)[O])(O[C]/C(=[C]\I)/C(=C/C=[CH])/[C])O[C][C]C(=[CH])OC)OC)O9)c(c7OC)I)OC)OC)cc3)c(c2)OC)OC)O1)[O])[O].[C](=[CH])[C].C(=[CH])[C].[CH].[C]I.[C]I.[CH]=[C]OC.[CH]=[C]OC.[CH]=[C]OC.[CH]=[C]OC.[CH]=[C]OC.[CH]=[C]OC.[C](/C(=[C]/[C])/OC)I.[H].[I]
"mof_unit_pretest_1851.cif
",[C]1(C#CC([CH2])([CH2])[CH]I)O[Cr]234O[C](C#C[C]([CH2])[CH])O[Cr]5(O[C](C#C[C]([CH2])[CH])O[Cr@@](O1)(O[C](C#C[C]C[CH]I)O5)O[C](C#C[C@]15[C@H](C[C@@]([C@H](C5)I)([C@H]([C@@H]1C)C)C#C[C]1O[Cr@@]56O[C](C#CC([CH2])([CH2])[CH]I)O[Cr]78(O[C](C#C[C]([CH2])[CH])O[Cr](O[C](C#C[C]([CH2])[CH])O5)(O[C](C#C[C]([C@H]([C]C)[CH2])C[CH])O6)(O[C](C#C[C]([C@H]([C]C)[CH2])C[CH])O7)O8)O1)I)O2)(O[C](C#C[C]C[CH]I)O3)O4.[CH2].[CH2].[CH2].[CH2].[H].[H].[H].[H].[I].[I].[I].[I].[I].[I]
"mof_unit_pretest_1852.cif
",Br/[C]=[C]\Br.Br/C(=[C]\[C]O[Zn])/C(=[NH]\C)/[C][C]=O.Brc1c(c(c(cc1C(=O)[O])NC)[C]1O[Zn@]23O[C](c4c(Br)cc(C(=O)[O])c(c4NC)N[CH2])O[Zn@](O[C](c4c(Br)c(c(C(=O)[O])c(Br)c4Br)N[CH2])O3)(O[C](c3c(c(Br)c(C(=O)O[Zn][O])c(c3NC)NC)NC)O2)O1)NC.[C]([C]c1c(c(c(c(c1[C][C]=O)N[CH2])NC)NC)[NH])[O].[C](=[CH])NC.[CH3].[H].[H].[H].[O][Zn].[O][Zn].[O]
"mof_unit_pretest_1853.cif
",O1[C](O[Cu]234(O[C](O[Cu]14(O[C](O3)[C@](/[C]=N\[O])([C]N(=O)=O)[CH])(O[C](O2)[C@@](/[C]=N\[O])([C]N(=O)=O)[CH])[N][C]/C(=[C]\N(=O)=O)/[C]N(=O)=O)C#C/C(=[C]\N(=O)=O)/[C]N(=O)=O)[N][C]/C(=[C]\N(=O)=O)/[C]N(=O)=O)C#C/C(=[C]\N(=O)=O)/[C]N(=O)=O.[O].[O]
"mof_unit_pretest_1854.cif
",[C]1[C]([C]O)[C@]([C@]([C][C]O[Zn@]2(O[Zn@](O[C][C][C](O)OCCC)(O[C](C#CC#C[C]3O[Zn]4O[C]5C#CC#C[C]6O[Zn@]78O[Zn@]9(O[C]([C@]([CH]OCCC)([C](O)O)[C](O)OCCC)O8)O[C]8C#CC#C[C](O[Zn](O[C]C#CC#C[C]O[Zn](O[C](C#CC#C[C]%10O[Zn](O[C]([C@@]([CH]OCCC)([C](O)O)[C](O)OCCC)O4)O[C](C#[C])O[Zn@@]4(O[Zn@@](O[C]([C@@]%11%12[C@@H]([C@@H]([C@@]([C]%13O[Zn@@]%14%15O[Zn@]%16(O[C](C#[C])O[Zn](O[C]([C@]([CH]OCCC)([C](O)O)[C](O)OCCC)O[Zn]%17O[C](C#CC#C[C]%18O[Zn@@]%19%20O[Zn@@]%21(O[C]([C@@]([CH]OCCC)([C](O)O)[C](O)OCCC)O%20)O[C](C#CC#C[C](O[Zn]([O])[O])O[Zn](O[C]C#[C])O[C][C]([CH]OCCC)[C]O)O[Zn](O[C]%20[C@@]%22%23[C@@H]([C@@H]([C@@]([C](O[Zn](O8)O6)O[Zn](O[C](C#[C])O9)O[C](C#CC#C[C]6O[Zn@@](O[Zn]([O])(O6)[O])(O[C][C][C@]([C@]([C][C]O[Zn@]6(O[Zn@]([O])(O[C](C#CC#C[C](O%19)O[Zn](O[C](C#[C])O%21)O%20)O6)O[C]C#CC#C[C]O[Zn@]6(O[Zn@@](O1)(O[C](C#CC#C[C](O%17)O%16)O6)[O])[O])[O])(O)OCCC)(O)OCCC)O[C]C#[C])O7)(C(C%22(O)O)(O)O)[C@@]([C@@]%23(O)OCCC)(O)OCCC)OCCC)OCCC)O%18)O%15)O[C](C#CC#C[C](O[Zn]([O])[O])O[Zn](O[C]C#[C])O[C])O%14)O%13)(C(C%11(O)O)(O)O)[C@@]([C@@]%12(O)OCCC)(O)OCCC)OCCC)OCCC)O4)(O%10)O5)O3)O[Zn]([O])[O])[O])[O])O[Zn]([O])O[C][C]([CH]OCCC)[C]O)O2)[O])O[C]C#[C])(O)OCCC)(O)OCCC.[CH].[CH].[CH][CH].[CH]([CH]OCCC)OCCC.[C](O)O.[C](O)O.[C](O)O.[C](O)O.[C]([C](O)O)(O)O.[C]O.[C][C](O)OCCC.[O][CH].[H].[CH]C.[H].[O]CCC.[O]CCC.[O][CH].[H].[CH]C.[H].[O][CH][CH][CH2].[H].[H].[H].[O].[CH]CC.[H].[OH].[OH]
"mof_unit_pretest_1855.cif
",[C]1(c2c(cc(cc2I)[N])I)O[Zn]23(N4[C](C(=C(C(=C4)I)[N])I)I)O[C](c4c(cc(cc4I)[N])I)O[Zn](N4[C](C(=C(C(=C4)I)[N])I)I)(O1)(O[C]([C]([C][C]([CH])I)[C]/C=[C]/I)O3)O[C]([C]([C][C]([CH])I)[C]/C=[C]/I)O2
"mof_unit_pretest_1856.cif
",[C]1(c2ccc(cc2)[C])O[Zn]23(N4[C](C=C(C=C4)[C])Br)O[C](c4ccc(cc4)[C])O[Zn](N4[C](C=C(C=C4)[C])Br)(O1)(O[C](c1cc(c(cc1)[C])Br)O3)O[C](c1cc(c(cc1)[C])Br)O2.[H].[H]
"mof_unit_pretest_1857.cif
",O1[C](O[Cu]234(O[C](O[Cu]14(O[C](O3)C#[C])(O[C](O2)C#[C])N1[C](C=C(C=C1N(=O)=O)[C])N(=O)=O)c1cc(c(c(c1)N(=O)=O)[C])N(=O)=O)N1[C](C=C(C=C1N(=O)=O)[C])N(=O)=O)c1cc(c(c(c1)N(=O)=O)[C])N(=O)=O
"mof_unit_pretest_1858.cif
",C(=O)([C@@]12[C@H]3[C@H]4[C@@H]1[C@@]1([C@]4([C@]3([C@]21O)O)[C]1O[Cu]234[Cu](O[C]([C@@]56[C@]7([C@H]8[C@@H]5[C@]5([C@@H]6[C@@H]7[C@@]85C(=O)O[Cu](O[C][C][C@H]([C]O)[C][S@@]([O])O)O[C][C][C@@H]([C]O)[C][S@]([O])O)S([O])([O])O)O)O2)(O1)(O[C]([C@@]12[C@]5([C@]6([C@@]1([C@]1([C@@]2([C@@]5([C@@]61C(=O)O[Cu]([O])[O])O)S([O])([O])O)O)S([O])([O])O)O)O)O3)O[C]([C@@]12[C@H]3[C@]5([C@@H]1[C@]1([C@@H]2[C@@]3([C@@]51C(=O)[O])S([O])([O])O)S([O])([O])O)S([O])([O])O)O4)O)O[Cu].C(=O)([C]1[CH][C@@]([C][C]O[Cu][O])([C]1O)O)O[Cu][O].[C]([C][C][O])([CH])S([O])([O])O.[C]([C][C][O])([CH])S([O])([O])O.[C@]([C][C][O])([C]O)([CH])S([O])([O])O.[C@@]([C][C]O[Cu]OC(=O)[C]C([CH])([CH])S([O])([O])O)([C]O)([CH])S([O])([O])O.[CH]([CH])[C]O.[C]([C@@H]([C][C][O])[C][S@@]([O])O)S([O])([O])O.[C]([C])O[Cu][O].[C]O[Cu][O].[C]=O.[C](=[C]\[C]([CH][C])[S@@]([O])O)\[O].[C].[C]/[C]=[C]\S([O])([O])O.[C]O.[C](=[C]\O)\O.[C](=[C]\O)\S([O])([O])O.[CH].[CH]=[C]O.[C](=[CH])O.[C](=[CH])O.[CH].[C]O.[C]O.[C].[C].[C][S@@]([O])O.[C][S@]([O])O.[Cu].[Cu]([O])[O].[O].[O].[O].[O].[O].[O].[O].[O].[O].[O].[O].[O].[O].[O]
"mof_unit_pretest_1859.cif
",[C]12[C@@]34C(C([C@@]([C]5O[Zn]6O[C](c7c(cc(C#Cc8c(c(c([C]9O[Zn@@]([O])(O[Zn@]([O])(O[C][C]/C(=C(\[C]C#C/[C]=C(/[C]C(=O)O)\C#N)/C#N)/C(=O)O)O9)O[C])c(c8C#N)C#N)C#N)C#N)cc7C#N)C#N)O[Zn]7O[C](C([C](C#N)C#N)([C](C#N)C#N)[CH]C#N)O[Zn@]89O[Zn@@](O[C](c%10c(c(c(c(c%10C(=O)O)C#N)[C])C#N)C#N)O7)(O[C](c7c(c(c(c(c7C#N)C#N)C#Cc7cc(C#N)c([C](O[Zn]([O])[O])O[Zn](O[C][C]C(C#N)(C#N)C([C][C]O[Zn](O[C](c%10c(cc(C#Cc%11c(c(c([C]%12O[Zn](O[C](c%13c(c(c(c(c%13C(=O)O)C#N)[C])C#N)C#N)O[Zn@]%13%14O[Zn@@](O[C](c%15c(cc(C#Cc%16c(c(c([C]%17O[Zn@](O[C]/[C]=C(/C(=[C]/[C])/C#N)\C(=O)O)(O[Zn]([O])([O])O%17)[O])c(c%16C#N)C#N)C#N)C#N)cc%15C#N)C#N)O%14)(O[C](c%14c(c(c(c(c%14C(=O)O)C#N)C#Cc%14c(c(c([C]%15O[Zn@]%16%17O[Zn@@]%18(O[C](c%19c(c(c(c(c%19C(=O)O)C#N)[C])C#N)C#N)O[Zn](O[C](C([C](C#N)C#N)([C](C#N)C#N)[CH]C#N)O%17)O[C](c%17c(cc(C#Cc%19c(c(c([C]%20O[Zn@@](O[C][C]/C(=C(\[C][C])/C#N)/C(=O)O)(O[Zn@]([O])(O[C]/[C]=C(/C(=[C]/C#C[C]/C(=C(\[C])/C(=O)O)/C#N)/C#N)\C(=O)O)O%20)[O])c(c%19C#N)C#N)C#N)C#N)cc%17C#N)C#N)O[Zn](O[C]([C@]%17%19C(C([C@]([C]%20O[Zn@]%21%22O[Zn@@]%23(O[C](C([C](C#N)C#N)([C](C#N)C#N)[CH]C#N)O[Zn](O[C](c%24c(c(c(c(c%24C(=O)O)C#N)C#Cc%24c(c(c([C](O8)O6)c(c%24C#N)C(=O)O)C#N)C#N)C#N)C#N)O%22)O[C](c6c(c(c(c(c6C#N)C#N)C#Cc6cc(C#N)c([C](O[Zn](O[C][C][C](C#N)C#N)O[C][C]/C(=[C]/C#N)/C#N)O[Zn]([O])[O])c(c6)C#N)C#N)C#N)O[Zn](O[C](c6c(c(c(c(c6C(=O)O)C#N)[C])C#N)C#N)O%23)O%20)O[C](c6c(cc(C#Cc8c(c(c([C]%20O[Zn@]([O])(O[C]/[C]=C(/C(=[C]/[C])/C#N)\C(=O)O)O[Zn@@](O[C])([O])O%20)c(c8C#N)C#N)C#N)C#N)cc6C#N)C#N)O%21)(C(C#N)(C#N)C%17(C#N)C#N)[C@H](C#N)[C@@H]%19C#N)(C#N)C#N)(C#N)C#N)O%18)O%15)O[C](c6c(c(c(c(c6C#N)C#N)C#Cc6cc(C#N)c([C](O[Zn](O[C][C][C](C#N)C#N)[O])O[Zn](O[C][C]8[C]([C]([C]C(C#N)(C#N)C8(C#N)C#N)C#N)C#N)[O])c(c6)C#N)C#N)C#N)O%16)c(c%14C#N)C(=O)O)C#N)C#N)C#N)C#N)O[Zn](O%12)O[C](C([C](C#N)C#N)([C](C#N)C#N)[CH]C#N)O%13)O2)O1)c(c%11C#N)C#N)C#N)C#N)cc%10C#N)C#N)O[Zn](O[C][C]([C]C#N)[C](C#N)C#N)O[C])[O])(C#N)C#N)O/[C]=[C]\C(=[C]\C#N)\C#N)c(c7)C#N)C#N)C#N)O9)O5)(C(C#N)(C#N)C3(C#N)C#N)[C@@H](C#N)[C@H]4C#N)(C#N)C#N)(C#N)C#N.[CH](C#N)[CH]C#N.[CH]C#N.[CH]C#N.[CH]C#N.[CH]C#N.[C]([C]C#N)(C#N)C#N.[C]C#N.[C]([C][C](C#N)C#N)C#N.[C]C#N.[C](=[C]\C#N)\C#N.[C](=[C]\C#N)\C#N.[C](=[C]\C#N)\C#N.[C](=[C]\C#N)\C#N.[C](=[C]\C#N)\C#N.[C](=[C]\C#N)\C#N.[C](/C(=[C]/[C])/C#N)C(=O)O.[C]#N.C(#N)[CH][CH].[C]#N.[C]#N.[C]#N.[C]#N.[C]#N.[C]#N.[C]#N
